        Tracepoints 
                      Tracepoint Locations 
Frame CG          x =      2.800   y =      1.850 
Tire Center       x =      0.600   y =      0.500 

                        Joint a               Joint b              Frame CG            Tire Center      
Input (deg)          ax        ay          bx         by        X          Y          X          Y     
19.876,             3.439,      2.292,      1.924,      0.294,      2.993,      1.382,      0.764,      0.081
19.738,             3.442,      2.283,      1.928,      0.285,      2.996,      1.374,      0.768,      0.071
19.599,             3.445,      2.275,      1.932,      0.276,      3.000,      1.365,      0.772,      0.061
19.461,             3.448,      2.267,      1.936,      0.267,      3.003,      1.357,      0.777,      0.051
19.322,             3.450,      2.259,      1.941,      0.258,      3.007,      1.348,      0.781,      0.041
19.184,             3.453,      2.251,      1.945,      0.248,      3.010,      1.340,      0.786,      0.031
19.046,             3.456,      2.242,      1.949,      0.239,      3.014,      1.331,      0.790,      0.020
18.907,             3.459,      2.234,      1.954,      0.229,      3.018,      1.322,      0.795,      0.010
18.769,             3.462,      2.226,      1.959,      0.220,      3.021,      1.314,      0.800,     -0.001
18.631,             3.465,      2.218,      1.963,      0.210,      3.025,      1.305,      0.805,     -0.011
18.492,             3.467,      2.209,      1.968,      0.200,      3.028,      1.296,      0.810,     -0.022
18.354,             3.470,      2.201,      1.973,      0.191,      3.032,      1.288,      0.815,     -0.033
18.215,             3.473,      2.193,      1.977,      0.181,      3.036,      1.279,      0.820,     -0.044
18.077,             3.476,      2.185,      1.982,      0.171,      3.040,      1.270,      0.825,     -0.055
17.939,             3.478,      2.176,      1.987,      0.161,      3.043,      1.261,      0.830,     -0.067
17.800,             3.481,      2.168,      1.992,      0.151,      3.047,      1.253,      0.835,     -0.078
17.662,             3.484,      2.160,      1.998,      0.141,      3.051,      1.244,      0.841,     -0.090
17.523,             3.486,      2.151,      2.003,      0.131,      3.055,      1.235,      0.846,     -0.101
17.385,             3.489,      2.143,      2.008,      0.120,      3.058,      1.226,      0.852,     -0.113
17.247,             3.492,      2.135,      2.013,      0.110,      3.062,      1.217,      0.858,     -0.125
17.108,             3.494,      2.126,      2.019,      0.099,      3.066,      1.208,      0.863,     -0.137
16.970,             3.497,      2.118,      2.024,      0.089,      3.070,      1.199,      0.869,     -0.149
16.832,             3.499,      2.110,      2.030,      0.078,      3.074,      1.190,      0.875,     -0.161
16.693,             3.502,      2.101,      2.036,      0.068,      3.078,      1.181,      0.881,     -0.174
16.555,             3.504,      2.093,      2.041,      0.057,      3.082,      1.172,      0.887,     -0.186
16.416,             3.507,      2.085,      2.047,      0.046,      3.086,      1.163,      0.893,     -0.199
16.278,             3.509,      2.076,      2.053,      0.036,      3.090,      1.154,      0.900,     -0.212
16.140,             3.512,      2.068,      2.059,      0.025,      3.094,      1.145,      0.906,     -0.225
16.001,             3.514,      2.060,      2.065,      0.014,      3.098,      1.136,      0.913,     -0.238
15.863,             3.516,      2.051,      2.071,      0.003,      3.102,      1.127,      0.919,     -0.251
15.724,             3.519,      2.043,      2.078,     -0.009,      3.106,      1.118,      0.926,     -0.264
15.586,             3.521,      2.034,      2.084,     -0.020,      3.110,      1.108,      0.933,     -0.278
15.448,             3.523,      2.026,      2.090,     -0.031,      3.115,      1.099,      0.940,     -0.291
15.309,             3.526,      2.018,      2.097,     -0.042,      3.119,      1.090,      0.947,     -0.305
15.171,             3.528,      2.009,      2.104,     -0.054,      3.123,      1.081,      0.954,     -0.319
15.033,             3.530,      2.001,      2.110,     -0.065,      3.127,      1.071,      0.962,     -0.333
14.894,             3.533,      1.992,      2.117,     -0.077,      3.132,      1.062,      0.969,     -0.347
14.756,             3.535,      1.984,      2.124,     -0.088,      3.136,      1.053,      0.977,     -0.361
14.617,             3.537,      1.975,      2.131,     -0.100,      3.140,      1.043,      0.984,     -0.376
14.479,             3.539,      1.967,      2.138,     -0.112,      3.145,      1.034,      0.992,     -0.390
14.341,             3.541,      1.959,      2.145,     -0.124,      3.149,      1.025,      1.000,     -0.405
14.202,             3.543,      1.950,      2.153,     -0.136,      3.154,      1.015,      1.008,     -0.420
14.064,             3.546,      1.942,      2.160,     -0.148,      3.158,      1.006,      1.016,     -0.434
13.925,             3.548,      1.933,      2.168,     -0.160,      3.163,      0.996,      1.024,     -0.449
13.787,             3.550,      1.925,      2.175,     -0.172,      3.167,      0.987,      1.033,     -0.465
13.649,             3.552,      1.916,      2.183,     -0.184,      3.172,      0.977,      1.041,     -0.480
13.510,             3.554,      1.908,      2.191,     -0.196,      3.176,      0.968,      1.050,     -0.495
13.372,             3.556,      1.899,      2.199,     -0.209,      3.181,      0.958,      1.059,     -0.511
13.234,             3.558,      1.891,      2.207,     -0.221,      3.186,      0.949,      1.068,     -0.526
13.095,             3.560,      1.882,      2.215,     -0.233,      3.191,      0.939,      1.077,     -0.542
12.957,             3.562,      1.874,      2.223,     -0.246,      3.195,      0.930,      1.086,     -0.558
12.818,             3.564,      1.865,      2.232,     -0.258,      3.200,      0.920,      1.095,     -0.574
12.680,             3.566,      1.857,      2.240,     -0.271,      3.205,      0.910,      1.105,     -0.590
12.542,             3.568,      1.848,      2.249,     -0.284,      3.210,      0.901,      1.115,     -0.607
12.403,             3.570,      1.840,      2.258,     -0.296,      3.215,      0.891,      1.124,     -0.623
12.265,             3.571,      1.831,      2.267,     -0.309,      3.220,      0.881,      1.134,     -0.639
12.126,             3.573,      1.823,      2.276,     -0.322,      3.225,      0.872,      1.144,     -0.656
11.988,             3.575,      1.814,      2.285,     -0.335,      3.230,      0.862,      1.155,     -0.673
11.850,             3.577,      1.806,      2.294,     -0.348,      3.235,      0.852,      1.165,     -0.690
11.711,             3.579,      1.797,      2.303,     -0.361,      3.240,      0.843,      1.176,     -0.707
11.573,             3.580,      1.789,      2.313,     -0.374,      3.245,      0.833,      1.186,     -0.724
11.435,             3.582,      1.780,      2.322,     -0.387,      3.251,      0.823,      1.197,     -0.741
11.296,             3.584,      1.772,      2.332,     -0.400,      3.256,      0.813,      1.208,     -0.758
11.158,             3.586,      1.763,      2.342,     -0.414,      3.261,      0.803,      1.219,     -0.776
11.019,             3.587,      1.754,      2.352,     -0.427,      3.266,      0.794,      1.231,     -0.793
10.881,             3.589,      1.746,      2.362,     -0.440,      3.272,      0.784,      1.242,     -0.811
10.743,             3.591,      1.737,      2.372,     -0.454,      3.277,      0.774,      1.254,     -0.829
10.604,             3.592,      1.729,      2.382,     -0.467,      3.283,      0.764,      1.266,     -0.846
10.466,             3.594,      1.720,      2.393,     -0.480,      3.288,      0.755,      1.278,     -0.864
10.327,             3.595,      1.712,      2.403,     -0.494,      3.294,      0.745,      1.290,     -0.882
10.189,             3.597,      1.703,      2.414,     -0.507,      3.299,      0.735,      1.302,     -0.900
10.051,             3.598,      1.694,      2.425,     -0.521,      3.305,      0.725,      1.315,     -0.919
 9.912,             3.600,      1.686,      2.436,     -0.534,      3.310,      0.715,      1.327,     -0.937
 9.774,             3.601,      1.677,      2.447,     -0.548,      3.316,      0.705,      1.340,     -0.955
 9.635,             3.603,      1.669,      2.458,     -0.562,      3.322,      0.696,      1.353,     -0.974
 9.497,             3.604,      1.660,      2.470,     -0.575,      3.328,      0.686,      1.366,     -0.992
 9.359,             3.606,      1.652,      2.481,     -0.589,      3.333,      0.676,      1.380,     -1.011
 9.220,             3.607,      1.643,      2.493,     -0.603,      3.339,      0.666,      1.393,     -1.030
 9.082,             3.609,      1.634,      2.504,     -0.616,      3.345,      0.656,      1.407,     -1.048
 8.944,             3.610,      1.626,      2.516,     -0.630,      3.351,      0.646,      1.421,     -1.067
 8.805,             3.611,      1.617,      2.528,     -0.644,      3.357,      0.637,      1.435,     -1.086
 8.667,             3.613,      1.608,      2.540,     -0.658,      3.363,      0.627,      1.449,     -1.105
 8.528,             3.614,      1.600,      2.553,     -0.671,      3.369,      0.617,      1.463,     -1.124
 8.390,             3.615,      1.591,      2.565,     -0.685,      3.375,      0.607,      1.478,     -1.143
 8.252,             3.616,      1.583,      2.577,     -0.699,      3.381,      0.597,      1.493,     -1.162
 8.113,             3.618,      1.574,      2.590,     -0.713,      3.387,      0.588,      1.508,     -1.181
 7.975,             3.619,      1.565,      2.603,     -0.726,      3.394,      0.578,      1.523,     -1.201
 7.836,             3.620,      1.557,      2.616,     -0.740,      3.400,      0.568,      1.538,     -1.220
 7.698,             3.621,      1.548,      2.629,     -0.754,      3.406,      0.558,      1.553,     -1.239
 7.560,             3.622,      1.539,      2.642,     -0.768,      3.412,      0.549,      1.569,     -1.258
 7.421,             3.624,      1.531,      2.655,     -0.781,      3.419,      0.539,      1.585,     -1.278
 7.283,             3.625,      1.522,      2.668,     -0.795,      3.425,      0.529,      1.601,     -1.297
 7.145,             3.626,      1.513,      2.682,     -0.809,      3.431,      0.519,      1.617,     -1.317
 7.006,             3.627,      1.505,      2.695,     -0.823,      3.438,      0.510,      1.633,     -1.336
 6.868,             3.628,      1.496,      2.709,     -0.836,      3.444,      0.500,      1.650,     -1.355
 6.729,             3.629,      1.488,      2.723,     -0.850,      3.451,      0.490,      1.667,     -1.375
 6.591,             3.630,      1.479,      2.737,     -0.864,      3.457,      0.481,      1.683,     -1.394
 6.453,             3.631,      1.470,      2.751,     -0.877,      3.464,      0.471,      1.700,     -1.414
 6.314,             3.632,      1.462,      2.765,     -0.891,      3.470,      0.462,      1.718,     -1.433
 6.176,             3.633,      1.453,      2.779,     -0.904,      3.477,      0.452,      1.735,     -1.453
 6.037,             3.634,      1.444,      2.794,     -0.918,      3.484,      0.442,      1.752,     -1.472
 5.899,             3.635,      1.436,      2.808,     -0.931,      3.490,      0.433,      1.770,     -1.492
 5.761,             3.636,      1.427,      2.823,     -0.945,      3.497,      0.423,      1.788,     -1.511
 5.622,             3.636,      1.418,      2.837,     -0.958,      3.504,      0.414,      1.806,     -1.530
 5.484,             3.637,      1.410,      2.852,     -0.971,      3.510,      0.405,      1.824,     -1.550
 5.346,             3.638,      1.401,      2.867,     -0.985,      3.517,      0.395,      1.843,     -1.569
 5.207,             3.639,      1.392,      2.882,     -0.998,      3.524,      0.386,      1.861,     -1.588
 5.069,             3.640,      1.383,      2.897,     -1.011,      3.531,      0.376,      1.880,     -1.608
